internal_name,title,deal_id,game_id,store_id,Sale_price,normal_price,is_on_sale,rating,rating_pct,ratings
BATTLEFIELD1,Battlefield 1,,152332,1,1.99,39.99,1,Very Positive,86,42650
SYNDUALITYECHOOFADA,SYNDUALITY: Echo of Ada,,291856,1,1.99,39.99,1,Mixed,50,729
BRIDGECONSTRUCTORPORTAL,Bridge Constructor Portal,,176534,1,0.99,9.99,1,Very Positive,90,2428
BATTLEFIELD4,Battlefield 4,,96380,1,1.99,39.99,1,Very Positive,83,28191
BATTLEFIELDV,Battlefield V,,187449,1,2.49,49.99,1,Mostly Positive,70,34018
TITANFALL2,Titanfall 2,,153781,1,2.99,29.99,1,Overwhelmingly Positive,95,92250
POSSESSORS,Possessor(s),,311663,1,4.49,17.99,1,Mostly Positive,79,341
JUSTCAUSE2,Just Cause 2,,180,1,1.49,14.99,1,Very Positive,91,18851
ACESANDADVENTURES,Aces and Adventures,,256932,1,1.99,19.99,1,Very Positive,89,595
MASSEFFECTLEGENDARYEDITION,Mass Effect Legendary Edition,,225750,1,5.99,59.99,1,Very Positive,91,39311
BRIDGECONSTRUCTORTHEWALKINGDEAD,Bridge Constructor The Walking Dead,,222885,1,0.99,9.99,1,Mixed,69,222
DEPONIA,Deponia,,88328,1,2.99,29.99,1,Mostly Positive,77,2965
DUNGEONSIEGE,Dungeon Siege,,192,1,0.97,6.99,1,Mostly Positive,79,2128
STARWARSJEDIFALLENORDER,STAR WARS Jedi: Fallen Order,,206034,1,3.19,39.99,1,Very Positive,88,80893
JALOPY,Jalopy,,151713,1,1.49,14.99,1,Mostly Positive,75,4009
DROPSY,Dropsy,,145148,1,0.99,9.99,1,Very Positive,93,1580
GIANASISTERSTWISTEDDREAMS,Giana Sisters: Twisted Dreams,,93486,1,1.49,14.99,1,Very Positive,81,1003
HELHEIMHASSLE,Helheim Hassle,,219387,1,0.99,19.99,1,Very Positive,90,311
ZEROESCAPETHENONARYGAMES,Zero Escape: The Nonary Games,,167652,1,2.99,29.99,1,Very Positive,94,3796
NEEDFORSPEEDHEAT,Need for Speed Heat,,204096,1,3.49,69.99,1,Very Positive,84,49339
GREENHELL,Green Hell,,191469,1,2.49,24.99,1,Very Positive,85,25207
STARWARSSQUADRONS,Star Wars Squadrons,,216984,1,3.99,39.99,1,Mixed,68,18837
SHADOWWARRIOR2,Shadow Warrior 2,,144515,1,2.99,29.99,1,Very Positive,87,8644
AWAYOUT,A Way Out,,176067,1,2.99,29.99,1,Very Positive,88,24319
SHADOWTACTICSBLADESOFTHESHOGUN,Shadow Tactics: Blades of the Shogun,,158443,1,3.99,39.99,1,Very Positive,94,8975
TROLLEYPROBLEMINC,"Trolley Problem, Inc.",,242550,1,1.09,10.99,1,Mixed,67,1193
DISCROOM,Disc Room,,217831,1,2.24,14.99,1,Very Positive,93,895
SUPERMEGABASEBALL4,Super Mega Baseball 4,,260299,1,4.99,49.99,1,Mostly Positive,79,1153
QUANTUMCONUNDRUM,Quantum Conundrum,,88139,1,0.98,8.99,1,Very Positive,84,1739
HOGWARTSLEGACY,Hogwarts Legacy,,249998,1,8.99,59.99,1,Very Positive,91,139602
REMNANTFROMTHEASHES,Remnant: From the Ashes,,200898,1,3.99,39.99,1,Very Positive,86,23917
BEYONDTHELONGNIGHT,Beyond the Long Night,,259211,1,1.79,17.99,1,Mixed,67,110
DANGANRONPA2GOODBYEDESPAIR,Danganronpa 2: Goodbye Despair,,151529,1,1.99,19.99,1,Overwhelmingly Positive,96,12258
BATTLEFIELD2042,Battlefield 2042,,230756,1,2.99,59.99,1,Mixed,46,106121
DUNGEONSIEGEII,Dungeon Siege II,,305,1,0.97,6.99,1,Mostly Positive,74,1343
SUPERHEXAGON,Super Hexagon,,93909,1,0.74,2.99,1,Overwhelmingly Positive,97,12033
TITANSOULS,Titan Souls,,143048,1,1.49,14.99,1,Mostly Positive,72,2712
WAILINGHEIGHTS,Wailing Heights,,152113,1,0.99,9.99,1,Mostly Positive,74,110
SUPREMECOMMANDER,Supreme Commander,,102,1,2.59,12.99,1,Very Positive,88,1230
PEGGLEDELUXE,Peggle Deluxe,,1007,1,0.99,4.99,1,Overwhelmingly Positive,97,9868
STARWARSJEDISURVIVOR,STAR WARS Jedi: Survivor,,254430,1,6.99,69.99,1,Mixed,68,47282
THEHOLYGOSHDARN,The Holy Gosh Darn,,287946,1,3.99,19.99,1,Very Positive,96,241
BACK4BLOOD,Back 4 Blood,,224258,1,5.99,59.99,1,Mostly Positive,72,25059
UNRAVEL,Unravel,,144426,1,2.99,19.99,1,Very Positive,87,1618
GATOROBOTO,Gato Roboto,,202036,1,1.19,7.99,1,Very Positive,94,2103
HOTLINEMIAMI,Hotline Miami,,89908,1,1.99,9.99,1,Overwhelmingly Positive,96,40448
INERTIALDRIFT,Inertial Drift,,220415,1,4.99,19.99,1,Very Positive,84,1272
SHADOWWARRIOR,Shadow Warrior,,101413,1,2.99,29.99,1,Very Positive,93,8047
MORTALSHELL,Mortal Shell,,216940,1,2.99,29.99,1,Mixed,69,3825
ANACHRONOX,Anachronox,,87210,1,0.97,6.99,1,Mostly Positive,75,446
GOODBYEDEPONIA,Goodbye Deponia,,101882,1,1.99,19.99,1,Very Positive,89,1942
MONSTERENERGYSUPERCROSSTHEOFFICIALVIDEOGAME2,Monster Energy Supercross - The Official Videogame 2,,198417,1,1.99,19.99,1,Very Positive,85,578
BATTLESTATIONSMIDWAY,Battlestations: Midway,,757,1,0.97,6.99,1,Mostly Positive,77,844
WILDHEARTS,WILD HEARTS,,254393,1,6.99,69.99,1,Mixed,55,3996
GRIS,GRIS,,195959,1,2.99,14.99,1,Overwhelmingly Positive,95,26428
JUSTCAUSE,Just Cause,,1368,1,0.97,6.99,1,Mixed,62,1935
PROJECTSNOWBLIND,Project: Snowblind,,1197,1,0.89,5.99,1,Mostly Positive,75,684
CHAOSONDEPONIA,Chaos on Deponia,,93636,1,1.99,19.99,1,Very Positive,83,721
ZEROESCAPEZEROTIMEDILEMMA,Zero Escape: Zero Time Dilemma,,154490,1,1.99,19.99,1,Very Positive,82,2637
KENFOLLETTSTHEPILLARSOFTHEEARTH,Ken Follett's The Pillars of the Earth,,172014,1,1.99,19.99,1,Very Positive,92,1682
BLACKGUARDS2,Blackguards 2,,140070,1,0.99,9.99,1,Mixed,64,893
BEJEWELED3,Bejeweled 3,,279,1,0.99,4.99,1,Overwhelmingly Positive,95,3748
STARWARSBATTLEFRONTII,Star Wars Battlefront II,,269,1,3.19,39.99,1,Very Positive,87,48998
APEOUT,Ape Out,,196662,1,2.99,14.99,1,Very Positive,94,2426
NEEDFORSPEEDUNBOUND,Need for Speed Unbound,,251767,1,6.99,69.99,1,Mixed,63,19663
IRATUSLORDOFTHEDEAD,Iratus Lord of the Dead,,203450,1,2.99,29.99,1,Very Positive,84,2912
THELONGESTJOURNEY,The Longest Journey,,253,1,2.99,9.99,1,Very Positive,89,1828
EASPORTSPGATOUR,EA SPORTS PGA TOUR,,256277,1,6.99,69.99,1,Mixed,55,1832
THEMESSENGER,The Messenger,,191044,1,3.99,19.99,1,Very Positive,92,4636
UNRAVELTWO,Unravel Two,,188166,1,2.99,19.99,1,Mostly Positive,75,2597
DEPONIADOOMSDAY,Deponia Doomsday,,150170,1,1.99,19.99,1,Mostly Positive,79,933
TOTALLYRELIABLEDELIVERYSERVICE,Totally Reliable Delivery Service,,212676,1,2.24,14.99,1,Mostly Positive,78,1558
OLLIOLLI2WELCOMETOOLLIWOOD,OlliOlli2: Welcome to Olliwood,,145291,1,2.99,14.99,1,Very Positive,86,433
MINININJAS,Mini Ninjas,,1140,1,1.49,9.99,1,Very Positive,88,1417
THELASTTINKERCITYOFCOLORS,The Last Tinker: City of Colors,,108708,1,1.99,19.99,1,Mostly Positive,78,739
UNCLAIMEDWORLD,Unclaimed World,,107953,1,0.84,16.99,1,Mixed,50,176
HOTLINEMIAMI2WRONGNUMBER,Hotline Miami 2: Wrong Number,,142024,1,2.24,14.99,1,Very Positive,92,23908
THEDARKEYECHAINSOFSATINAV,The Dark Eye: Chains of Satinav,,87946,1,1.99,19.99,1,Very Positive,86,1983
EDNAANDHARVEYHARVEYSNEWEYES,Edna and Harvey: Harvey's New Eyes,,93463,1,1.99,19.99,1,Very Positive,84,915
SUPREMECOMMANDERFORGEDALLIANCE,Supreme Commander: Forged Alliance,,141,1,2.59,12.99,1,Overwhelmingly Positive,96,5812
KILLTOCOLLECT,Kill to Collect,,151354,1,0.99,9.99,1,Mixed,67,168
THENIGHTOFTHERABBIT,The Night of the Rabbit,,97671,1,2.49,24.99,1,Very Positive,87,1085
JUSTCAUSE3,Just Cause 3,,137357,1,2.99,19.99,1,Very Positive,86,44800
LUFTRAUSERS,LUFTRAUSERS,,107266,1,1.99,9.99,1,Very Positive,91,2511
ANNASQUEST,Anna's Quest,,144487,1,1.99,19.99,1,Very Positive,87,1749
MYFRIENDPEDRO,My Friend Pedro,,202273,1,3.99,19.99,1,Overwhelmingly Positive,95,11038
INSURMOUNTABLE,Insurmountable,,229104,1,2.49,24.99,1,Mostly Positive,78,793
AFISTFULOFGUN,A Fistful of Gun,,145610,1,0.99,9.99,1,Mixed,59,137
VALHALLAHILLS,Valhalla Hills,,145558,1,1.29,12.99,1,Mixed,60,673
MOTOGP20,MotoGP20,,214681,1,2.99,19.99,1,Very Positive,90,1122
THEREDSTRINGSCLUB,The Red Strings Club,,176995,1,2.99,14.99,1,Very Positive,91,3148
NEEDFORSPEED,Need for Speed,,144435,1,3.59,29.99,1,Mixed,65,7320
ANEWBEGINNINGFINALCUT,A New Beginning - Final Cut,,94063,1,0.99,9.99,1,Mostly Positive,74,1497
IRONDANGER,Iron Danger,,212422,1,1.99,19.99,1,Mostly Positive,73,530
HIGHHELL,High Hell,,174445,1,1.99,9.99,1,Very Positive,86,1392
MINIT,Minit,,185493,1,1.99,9.99,1,Very Positive,91,1737
NEEDFORSPEEDHOTPURSUITREMASTERED,Need for Speed Hot Pursuit Remastered,,221179,1,4.49,29.99,1,Mostly Positive,79,5272
ZUMASREVENGE,Zuma's Revenge!,,661,1,0.99,4.99,1,Very Positive,94,1399
BEJEWELEDTWIST,Bejeweled Twist,,845,1,0.99,4.99,1,Very Positive,83,561
SURGEONSIMULATOR2,Surgeon Simulator 2,,216941,1,3.99,19.99,1,Mixed,46,1945
ANOMALYWARZONEEARTH,Anomaly: Warzone Earth,,343,1,0.99,9.99,1,Very Positive,85,998
CRAZYMACHINES3,Crazy Machines 3,,155407,1,0.99,9.99,1,Very Positive,93,2445
FELIXTHEREAPER,Felix The Reaper,,206344,1,0.99,9.99,1,Very Positive,80,210
AITHESOMNIUMFILESNIRVANAINITIATIVE,AI: THE SOMNIUM FILES - nirvanA Initiative,,247925,1,7.99,39.99,1,Very Positive,86,1798
STEINSGATE,STEINS;GATE,,158412,1,5.99,29.99,1,Overwhelmingly Positive,95,5077
MURDEREDSOULSUSPECT,Murdered: Soul Suspect,,95943,1,1.99,19.99,1,Very Positive,82,4208
IMMORTALSOFAVEUM,Immortals of Aveum,,259543,1,5.99,59.99,1,Mostly Positive,73,1694
ORDEROFWAR,Order of War,,874,1,1.19,7.99,1,Mixed,68,438
WAYOFTHESAMURAI4,Way of the Samurai 4,,144938,1,2.49,24.99,1,Mostly Positive,77,1867
VVVVVV,VVVVVV,,406,1,1.24,4.99,1,Overwhelmingly Positive,96,4441
DEADSYNCHRONICITYTOMORROWCOMESTODAY,Dead Synchronicity: Tomorrow Comes Today,,142961,1,0.99,9.99,1,Very Positive,82,1126
LIFEOFDELTA,Life of Delta,,258043,1,1.99,19.99,1,Mixed,68,105
OLLIOLLI,OlliOlli,,117494,1,2.59,12.99,1,Very Positive,80,417
DEATHSDOOR,Deaths Door,,230921,1,4.99,19.99,1,Very Positive,93,10302
HOLYPOTATOESAWEAPONSHOP,Holy Potatoes! A Weapon Shop?!,,144875,1,0.99,9.99,1,Mostly Positive,71,1178
PEGGLENIGHTS,Peggle Nights,,844,1,0.99,4.99,1,Overwhelmingly Positive,96,2253
WARHAMMERVERMINTIDE2,Warhammer: Vermintide 2,,174250,1,2.99,29.99,1,Very Positive,90,43477
AERMEMORIESOFOLD,AER  Memories of Old,,173675,1,1.49,14.99,1,Very Positive,87,2156
NEEDFORSPEEDMOSTWANTED,Need for Speed Most Wanted,,92576,1,3.99,19.99,1,Mostly Positive,74,7988
BLACKGUARDS,Blackguards,,102695,1,0.99,9.99,1,Mixed,59,1264
THELONGJOURNEYHOME,The Long Journey Home,,165652,1,0.99,9.99,1,Mixed,57,1314
OLIJA,Olija,,225453,1,2.99,14.99,1,Very Positive,90,863
STATEOFMIND,State of Mind,,163161,1,1.99,19.99,1,Mostly Positive,77,1519
STEALTHBASTARDDELUXE,Stealth Bastard Deluxe,,93923,1,1.29,12.99,1,Very Positive,88,710
CHICKENPOLICEPAINTITRED,Chicken Police - Paint it RED,,222464,1,4.99,19.99,1,Very Positive,94,1582
SPORE,SPORE,,198,1,4.99,19.99,1,Very Positive,92,37193
CRYSISWARHEAD,Crysis Warhead,,261,1,4.99,19.99,1,Very Positive,84,1456
WHENSKILIFTSGOWRONG,When Ski Lifts Go Wrong,,194665,1,1.49,14.99,1,Very Positive,87,509
HAMILTONSGREATADVENTURE,Hamilton's Great Adventure,,463,1,0.99,9.99,1,Mixed,69,229
KANEANDLYNCH2DOGDAYS,Kane and Lynch 2: Dog Days,,3992,1,1.49,9.99,1,Mostly Positive,71,2760
ANOMALY2,Anomaly 2,,97298,1,1.49,14.99,1,Mostly Positive,78,432
SERIOUSSAMTHERANDOMENCOUNTER,Serious Sam: The Random Encounter,,157,1,0.74,4.99,1,Mixed,50,648
WARP,Warp,,5517,1,1.99,9.99,1,Mixed,66,378
ALICEMADNESSRETURNS,Alice: Madness Returns,,408,1,1.99,9.99,1,Very Positive,88,10338
MCPIXEL3,McPixel 3,,253328,1,1.99,9.99,1,Overwhelmingly Positive,96,1140
UNRAILED,Unrailed!,,204790,1,2.99,19.99,1,Very Positive,94,4589
BOUNTYTRAIN,Bounty Train,,145519,1,0.99,9.99,1,Mostly Positive,70,1294
HOLYPOTATOESWEREINSPACE,Holy Potatoes! Were in Space?!,,165716,1,0.99,9.99,1,Mostly Positive,70,455
DUNGEONHEARTS,Dungeon Hearts,,96203,1,0.59,2.99,1,Mixed,65,352
NBA2K26,NBA 2K26,,305539,1,19.99,79.99,1,Mostly Positive,74,7096
LOSTINRANDOM,Lost in Random,,232447,1,5.99,29.99,1,Very Positive,89,2546
DESPERADOSIII,Desperados III,,214001,1,9.99,39.99,1,Overwhelmingly Positive,95,4254
DICEYDUNGEONS,Dicey Dungeons,,204078,1,3.74,14.99,1,Very Positive,90,6109
RIDE2,Ride 2,,153995,1,2.49,24.99,1,Very Positive,83,895
BLOCKHOOD,Block'hood,,150836,1,2.99,14.99,1,Mostly Positive,73,1171
THISWAROFMINE,This War of Mine,,136930,1,2.99,19.99,1,Very Positive,92,22782
FIREUNGHSQUEST,Fire: Unghs Quest,,228428,1,0.99,9.99,1,Very Positive,86,465
NOTAHERO,NOT A HERO,,143337,1,3.99,19.99,1,Very Positive,87,1624
WARHAMMERENDTIMESVERMINTIDE,Warhammer: End Times - Vermintide,,145156,1,2.99,29.99,1,Very Positive,83,7836
SKYHILL,SKYHILL,,145643,1,0.99,9.99,1,Mixed,69,624
